action,landmark,plan_id,order,goal
examine substance in metal pot,True,2,40,Your task is to boil water
use thermometer in inventory on substance in metal pot,True,2,41,Your task is to boil water
examine substance in metal pot,True,2,42,Your task is to boil water
use thermometer in inventory on substance in metal pot,True,2,43,Your task is to boil water
open door to kitchen,True,3,0,Your task is to boil water
go to kitchen,True,3,1,Your task is to boil water
pick up thermometer,True,3,2,Your task is to boil water
open cupboard,True,3,3,Your task is to boil water
pick up metal pot,True,3,4,Your task is to boil water
move metal pot to sink,True,3,5,Your task is to boil water
activate sink,True,3,6,Your task is to boil water
deactivate sink,True,3,7,Your task is to boil water
pick up metal pot,True,3,8,Your task is to boil water
move metal pot to sink,True,3,9,Your task is to boil water
activate sink,True,3,10,Your task is to boil water
deactivate sink,True,3,11,Your task is to boil water
pick up metal pot,True,3,12,Your task is to boil water
open door to bathroom,False,3,13,Your task is to boil water
go to bathroom,False,3,14,Your task is to boil water
move metal pot to sink,True,3,15,Your task is to boil water
activate sink,True,3,16,Your task is to boil water
deactivate sink,True,3,17,Your task is to boil water
pick up metal pot,True,3,18,Your task is to boil water
focus on substance in metal pot,True,3,19,Your task is to boil water
pour metal pot into metal pot,True,3,20,Your task is to boil water
pick up metal pot,True,3,21,Your task is to boil water
open door to kitchen,True,3,22,Your task is to boil water
go to kitchen,True,3,23,Your task is to boil water
move metal pot to stove,True,3,24,Your task is to boil water
activate stove,True,3,25,Your task is to boil water
pick up metal pot,True,3,26,Your task is to boil water
open door to outside,False,3,27,Your task is to boil water
go to outside,False,3,28,Your task is to boil water
open door to foundry,False,3,29,Your task is to boil water
go to foundry,False,3,30,Your task is to boil water
open blast furnace,False,3,31,Your task is to boil water
move metal pot to blast furnace,False,3,32,Your task is to boil water
activate blast furnace,False,3,33,Your task is to boil water
examine substance in metal pot,True,3,34,Your task is to boil water
use thermometer in inventory on substance in metal pot,True,3,35,Your task is to boil water
examine substance in metal pot,True,3,36,Your task is to boil water
open door to kitchen,True,4,0,Your task is to boil ice
go to kitchen,True,4,1,Your task is to boil ice
pick up thermometer,True,4,2,Your task is to boil ice
open cupboard,True,4,3,Your task is to boil ice
pick up metal pot,True,4,4,Your task is to boil ice
open glass jar,False,4,5,Your task is to boil ice
open drawer in counter,False,4,6,Your task is to boil ice
open freezer,True,4,7,Your task is to boil ice
focus on ice,True,4,8,Your task is to boil ice
move ice to metal pot,True,4,9,Your task is to boil ice
pick up metal pot,True,4,10,Your task is to boil ice
move metal pot to stove,True,4,11,Your task is to boil ice
activate stove,True,4,12,Your task is to boil ice
examine ice,False,4,13,Your task is to boil ice
use thermometer in inventory on ice,False,4,14,Your task is to boil ice
examine ice,False,4,15,Your task is to boil ice
use thermometer in inventory on substance in metal pot,True,4,16,Your task is to boil ice
examine substance in metal pot,True,4,17,Your task is to boil ice
use thermometer in inventory on substance in metal pot,True,4,18,Your task is to boil ice
examine substance in metal pot,True,4,19,Your task is to boil ice
use thermometer in inventory on substance in metal pot,True,4,20,Your task is to boil ice
examine substance in metal pot,True,4,21,Your task is to boil ice
use thermometer in inventory on substance in metal pot,True,4,22,Your task is to boil ice
examine substance in metal pot,True,4,23,Your task is to boil ice
use thermometer in inventory on substance in metal pot,True,4,24,Your task is to boil ice
examine substance in metal pot,True,4,25,Your task is to boil ice
use thermometer in inventory on substance in metal pot,True,4,26,Your task is to boil ice
examine substance in metal pot,True,4,27,Your task is to boil ice
use thermometer in inventory on substance in metal pot,True,4,28,Your task is to boil ice
examine substance in metal pot,True,4,29,Your task is to boil ice
use thermometer in inventory on substance in metal pot,True,4,30,Your task is to boil ice
examine substance in metal pot,True,4,31,Your task is to boil ice
use thermometer in inventory on substance in metal pot,True,4,32,Your task is to boil ice
examine substance in metal pot,True,4,33,Your task is to boil ice
use thermometer in inventory on substance in metal pot,True,4,34,Your task is to boil ice
open door to hallway,False,5,0,Your task is to boil ice
go to hallway,False,5,1,Your task is to boil ice
open door to kitchen,True,5,2,Your task is to boil ice
go to kitchen,True,5,3,Your task is to boil ice
pick up thermometer,True,5,4,Your task is to boil ice
open cupboard,True,5,5,Your task is to boil ice
pick up metal pot,True,5,6,Your task is to boil ice
open freezer,True,5,7,Your task is to boil ice
focus on ice,True,5,8,Your task is to boil ice
move ice to metal pot,True,5,9,Your task is to boil ice
pick up metal pot,True,5,10,Your task is to boil ice
move metal pot to stove,True,5,11,Your task is to boil ice
activate stove,True,5,12,Your task is to boil ice
pick up metal pot,True,5,13,Your task is to boil ice
open door to outside,False,5,14,Your task is to boil ice
go to outside,False,5,15,Your task is to boil ice
open door to foundry,False,5,16,Your task is to boil ice
go to foundry,False,5,17,Your task is to boil ice
open blast furnace,False,5,18,Your task is to boil ice
move metal pot to blast furnace,False,5,19,Your task is to boil ice
activate blast furnace,False,5,20,Your task is to boil ice
examine substance in metal pot,True,5,21,Your task is to boil ice
use thermometer in inventory on substance in metal pot,True,5,22,Your task is to boil ice
examine substance in metal pot,True,5,23,Your task is to boil ice
open door to outside,True,6,0,Your task is to boil orange juice
go to outside,True,6,1,Your task is to boil orange juice
open door to kitchen,True,6,2,Your task is to boil orange juice
go to kitchen,True,6,3,Your task is to boil orange juice
pick up thermometer,True,6,4,Your task is to boil orange juice
open cupboard,True,6,5,Your task is to boil orange juice
pick up metal pot,True,6,6,Your task is to boil orange juice
open drawer in counter,False,6,7,Your task is to boil orange juice
open oven,True,6,8,Your task is to boil orange juice
open freezer,True,6,9,Your task is to boil orange juice
open fridge,True,6,10,Your task is to boil orange juice
focus on orange juice,True,6,11,Your task is to boil orange juice
pour cup containing orange juice into metal pot,True,6,12,Your task is to boil orange juice
pick up metal pot,True,6,13,Your task is to boil orange juice
move metal pot to stove,True,6,14,Your task is to boil orange juice
activate stove,True,6,15,Your task is to boil orange juice
examine orange juice,True,6,16,Your task is to boil orange juice
use thermometer in inventory on orange juice,True,6,17,Your task is to boil orange juice
examine orange juice,True,6,18,Your task is to boil orange juice
use thermometer in inventory on orange juice,True,6,19,Your task is to boil orange juice
examine orange juice,True,6,20,Your task is to boil orange juice
use thermometer in inventory on orange juice,True,6,21,Your task is to boil orange juice
examine orange juice,True,6,22,Your task is to boil orange juice
use thermometer in inventory on orange juice,True,6,23,Your task is to boil orange juice
examine orange juice,True,6,24,Your task is to boil orange juice
use thermometer in inventory on orange juice,True,6,25,Your task is to boil orange juice
examine orange juice,True,6,26,Your task is to boil orange juice
use thermometer in inventory on orange juice,True,6,27,Your task is to boil orange juice
examine orange juice,True,6,28,Your task is to boil orange juice
use thermometer in inventory on orange juice,True,6,29,Your task is to boil orange juice
examine orange juice,True,6,30,Your task is to boil orange juice
use thermometer in inventory on orange juice,True,6,31,Your task is to boil orange juice
examine orange juice,True,6,32,Your task is to boil orange juice
use thermometer in inventory on orange juice,True,6,33,Your task is to boil orange juice
examine orange juice,True,6,34,Your task is to boil orange juice
use thermometer in inventory on orange juice,True,6,35,Your task is to boil orange juice
open door to kitchen,True,7,0,Your task is to boil orange juice
go to kitchen,True,7,1,Your task is to boil orange juice
pick up thermometer,True,7,2,Your task is to boil orange juice
open cupboard,True,7,3,Your task is to boil orange juice
pick up metal pot,True,7,4,Your task is to boil orange juice
open glass jar,False,7,5,Your task is to boil orange juice
open oven,True,7,6,Your task is to boil orange juice
open freezer,True,7,7,Your task is to boil orange juice
open fridge,True,7,8,Your task is to boil orange juice
focus on orange juice,True,7,9,Your task is to boil orange juice
pour cup containing orange juice into metal pot,True,7,10,Your task is to boil orange juice
pick up metal pot,True,7,11,Your task is to boil orange juice
move metal pot to stove,True,7,12,Your task is to boil orange juice
activate stove,True,7,13,Your task is to boil orange juice
pick up metal pot,True,7,14,Your task is to boil orange juice
open door to outside,True,7,15,Your task is to boil orange juice
go to outside,True,7,16,Your task is to boil orange juice
open door to foundry,False,7,17,Your task is to boil orange juice
go to foundry,False,7,18,Your task is to boil orange juice
open blast furnace,False,7,19,Your task is to boil orange juice
move metal pot to blast furnace,False,7,20,Your task is to boil orange juice
activate blast furnace,False,7,21,Your task is to boil orange juice
examine orange juice,True,7,22,Your task is to boil orange juice
use thermometer in inventory on orange juice,True,7,23,Your task is to boil orange juice
examine orange juice,True,7,24,Your task is to boil orange juice
open door to kitchen,True,8,0,Your task is to boil apple juice
go to kitchen,True,8,1,Your task is to boil apple juice
pick up thermometer,True,8,2,Your task is to boil apple juice
open cupboard,True,8,3,Your task is to boil apple juice
pick up metal pot,True,8,4,Your task is to boil apple juice
open freezer,True,8,5,Your task is to boil apple juice
open fridge,True,8,6,Your task is to boil apple juice
focus on apple juice,True,8,7,Your task is to boil apple juice
pour cup containing apple juice into metal pot,False,8,8,Your task is to boil apple juice
pick up metal pot,True,8,9,Your task is to boil apple juice
move metal pot to stove,True,8,10,Your task is to boil apple juice
activate stove,True,8,11,Your task is to boil apple juice
examine apple juice,True,8,12,Your task is to boil apple juice
use thermometer in inventory on apple juice,True,8,13,Your task is to boil apple juice
examine apple juice,True,8,14,Your task is to boil apple juice
use thermometer in inventory on apple juice,True,8,15,Your task is to boil apple juice
examine apple juice,True,8,16,Your task is to boil apple juice
use thermometer in inventory on apple juice,True,8,17,Your task is to boil apple juice
examine apple juice,True,8,18,Your task is to boil apple juice
use thermometer in inventory on apple juice,True,8,19,Your task is to boil apple juice
examine apple juice,True,8,20,Your task is to boil apple juice
use thermometer in inventory on apple juice,True,8,21,Your task is to boil apple juice
examine apple juice,True,8,22,Your task is to boil apple juice
use thermometer in inventory on apple juice,True,8,23,Your task is to boil apple juice
examine apple juice,True,8,24,Your task is to boil apple juice
use thermometer in inventory on apple juice,True,8,25,Your task is to boil apple juice
examine apple juice,True,8,26,Your task is to boil apple juice
use thermometer in inventory on apple juice,True,8,27,Your task is to boil apple juice
examine apple juice,True,8,28,Your task is to boil apple juice
use thermometer in inventory on apple juice,True,8,29,Your task is to boil apple juice
examine apple juice,True,8,30,Your task is to boil apple juice
use thermometer in inventory on apple juice,True,8,31,Your task is to boil apple juice
examine apple juice,True,8,32,Your task is to boil apple juice
use thermometer in inventory on apple juice,True,8,33,Your task is to boil apple juice
examine apple juice,True,8,34,Your task is to boil apple juice
use thermometer in inventory on apple juice,True,8,35,Your task is to boil apple juice
examine apple juice,True,8,36,Your task is to boil apple juice
use thermometer in inventory on apple juice,True,8,37,Your task is to boil apple juice
examine apple juice,True,8,38,Your task is to boil apple juice
use thermometer in inventory on apple juice,True,8,39,Your task is to boil apple juice
examine apple juice,True,8,40,Your task is to boil apple juice
use thermometer in inventory on apple juice,True,8,41,Your task is to boil apple juice
examine apple juice,True,8,42,Your task is to boil apple juice
use thermometer in inventory on apple juice,True,8,43,Your task is to boil apple juice
examine apple juice,True,8,44,Your task is to boil apple juice
use thermometer in inventory on apple juice,True,8,45,Your task is to boil apple juice
examine apple juice,True,8,46,Your task is to boil apple juice
use thermometer in inventory on apple juice,True,8,47,Your task is to boil apple juice
open door to hallway,False,9,0,Your task is to boil apple juice
go to hallway,False,9,1,Your task is to boil apple juice
open door to kitchen,True,9,2,Your task is to boil apple juice
go to kitchen,True,9,3,Your task is to boil apple juice
pick up thermometer,True,9,4,Your task is to boil apple juice
open cupboard,True,9,5,Your task is to boil apple juice
pick up metal pot,True,9,6,Your task is to boil apple juice
open freezer,True,9,7,Your task is to boil apple juice
open drawer in counter,False,9,8,Your task is to boil apple juice
open oven,False,9,9,Your task is to boil apple juice
open glass jar,False,9,10,Your task is to boil apple juice
open fridge,True,9,11,Your task is to boil apple juice
focus on apple juice,True,9,12,Your task is to boil apple juice
pour jug into metal pot,False,9,13,Your task is to boil apple juice
pick up metal pot,True,9,14,Your task is to boil apple juice
move metal pot to stove,True,9,15,Your task is to boil apple juice
activate stove,True,9,16,Your task is to boil apple juice
pick up metal pot,True,9,17,Your task is to boil apple juice
open door to outside,False,9,18,Your task is to boil apple juice
go to outside,False,9,19,Your task is to boil apple juice
open door to foundry,False,9,20,Your task is to boil apple juice
go to foundry,False,9,21,Your task is to boil apple juice
open blast furnace,False,9,22,Your task is to boil apple juice
move metal pot to blast furnace,False,9,23,Your task is to boil apple juice
activate blast furnace,False,9,24,Your task is to boil apple juice
examine apple juice,True,9,25,Your task is to boil apple juice
use thermometer in inventory on apple juice,True,9,26,Your task is to boil apple juice
examine apple juice,True,9,27,Your task is to boil apple juice
use thermometer in inventory on apple juice,True,9,28,Your task is to boil apple juice
open door to hallway,False,10,0,Your task is to boil chocolate
go to hallway,False,10,1,Your task is to boil chocolate
open door to kitchen,False,10,2,Your task is to boil chocolate
go to kitchen,False,10,3,Your task is to boil chocolate
pick up thermometer,True,10,4,Your task is to boil chocolate
open cupboard,True,10,5,Your task is to boil chocolate
pick up metal pot,True,10,6,Your task is to boil chocolate
open freezer,True,10,7,Your task is to boil chocolate
open drawer in cupboard,True,10,8,Your task is to boil chocolate
open drawer in counter,True,10,9,Your task is to boil chocolate
open glass jar,False,10,10,Your task is to boil chocolate
open oven,False,10,11,Your task is to boil chocolate
open fridge,True,10,12,Your task is to boil chocolate
focus on chocolate,True,10,13,Your task is to boil chocolate
move chocolate to metal pot,True,10,14,Your task is to boil chocolate
pick up metal pot,True,10,15,Your task is to boil chocolate
move metal pot to stove,True,10,16,Your task is to boil chocolate
activate stove,True,10,17,Your task is to boil chocolate
examine chocolate,True,10,18,Your task is to boil chocolate
use thermometer in inventory on chocolate,True,10,19,Your task is to boil chocolate
examine chocolate,True,10,20,Your task is to boil chocolate
use thermometer in inventory on chocolate,True,10,21,Your task is to boil chocolate
examine chocolate,True,10,22,Your task is to boil chocolate
use thermometer in inventory on chocolate,True,10,23,Your task is to boil chocolate
examine chocolate,True,10,24,Your task is to boil chocolate
use thermometer in inventory on chocolate,True,10,25,Your task is to boil chocolate
examine chocolate,True,10,26,Your task is to boil chocolate
use thermometer in inventory on chocolate,True,10,27,Your task is to boil chocolate
examine chocolate,True,10,28,Your task is to boil chocolate
use thermometer in inventory on chocolate,True,10,29,Your task is to boil chocolate
examine chocolate,True,10,30,Your task is to boil chocolate
use thermometer in inventory on chocolate,True,10,31,Your task is to boil chocolate
examine chocolate,True,10,32,Your task is to boil chocolate
use thermometer in inventory on chocolate,True,10,33,Your task is to boil chocolate
examine chocolate,True,10,34,Your task is to boil chocolate
use thermometer in inventory on chocolate,True,10,35,Your task is to boil chocolate
examine chocolate,True,10,36,Your task is to boil chocolate
use thermometer in inventory on chocolate,True,10,37,Your task is to boil chocolate
pick up thermometer,True,11,0,Your task is to boil chocolate
open cupboard,True,11,1,Your task is to boil chocolate
pick up metal pot,True,11,2,Your task is to boil chocolate
open freezer,True,11,3,Your task is to boil chocolate
open drawer in counter,True,11,4,Your task is to boil chocolate
open drawer in cupboard,True,11,5,Your task is to boil chocolate
open fridge,True,11,6,Your task is to boil chocolate
focus on chocolate,True,11,7,Your task is to boil chocolate
move chocolate to metal pot,True,11,8,Your task is to boil chocolate
pick up metal pot,True,11,9,Your task is to boil chocolate
move metal pot to stove,True,11,10,Your task is to boil chocolate
activate stove,True,11,11,Your task is to boil chocolate
pick up metal pot,True,11,12,Your task is to boil chocolate
open door to outside,False,11,13,Your task is to boil chocolate
go to outside,False,11,14,Your task is to boil chocolate
open door to foundry,False,11,15,Your task is to boil chocolate
go to foundry,False,11,16,Your task is to boil chocolate
open blast furnace,False,11,17,Your task is to boil chocolate
move metal pot to blast furnace,False,11,18,Your task is to boil chocolate
activate blast furnace,False,11,19,Your task is to boil chocolate
examine chocolate,True,11,20,Your task is to boil chocolate
use thermometer in inventory on chocolate,True,11,21,Your task is to boil chocolate
examine chocolate,True,11,22,Your task is to boil chocolate
open door to hallway,False,12,0,Your task is to boil marshmallow
go to hallway,False,12,1,Your task is to boil marshmallow
open door to kitchen,True,12,2,Your task is to boil marshmallow
go to kitchen,True,12,3,Your task is to boil marshmallow
pick up thermometer,True,12,4,Your task is to boil marshmallow
open cupboard,True,12,5,Your task is to boil marshmallow
pick up metal pot,True,12,6,Your task is to boil marshmallow
focus on marshmallow,True,12,7,Your task is to boil marshmallow
move marshmallow to metal pot,True,12,8,Your task is to boil marshmallow
pick up metal pot,True,12,9,Your task is to boil marshmallow
move metal pot to stove,True,12,10,Your task is to boil marshmallow
activate stove,True,12,11,Your task is to boil marshmallow
examine marshmallow,True,12,12,Your task is to boil marshmallow
use thermometer in inventory on marshmallow,False,12,13,Your task is to boil marshmallow
examine marshmallow,True,12,14,Your task is to boil marshmallow
use thermometer in inventory on marshmallow,False,12,15,Your task is to boil marshmallow
examine marshmallow,True,12,16,Your task is to boil marshmallow
use thermometer in inventory on marshmallow,False,12,17,Your task is to boil marshmallow
examine marshmallow,True,12,18,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,19,Your task is to boil marshmallow
examine liquid marshmallow,True,12,20,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,21,Your task is to boil marshmallow
examine liquid marshmallow,True,12,22,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,23,Your task is to boil marshmallow
examine liquid marshmallow,True,12,24,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,25,Your task is to boil marshmallow
examine liquid marshmallow,True,12,26,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,27,Your task is to boil marshmallow
examine liquid marshmallow,True,12,28,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,29,Your task is to boil marshmallow
examine liquid marshmallow,True,12,30,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,31,Your task is to boil marshmallow
examine liquid marshmallow,True,12,32,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,33,Your task is to boil marshmallow
examine liquid marshmallow,True,12,34,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,35,Your task is to boil marshmallow
examine liquid marshmallow,True,12,36,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,37,Your task is to boil marshmallow
examine liquid marshmallow,True,12,38,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,39,Your task is to boil marshmallow
examine liquid marshmallow,True,12,40,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,41,Your task is to boil marshmallow
examine liquid marshmallow,True,12,42,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,43,Your task is to boil marshmallow
examine liquid marshmallow,True,12,44,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,45,Your task is to boil marshmallow
examine liquid marshmallow,True,12,46,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,47,Your task is to boil marshmallow
examine liquid marshmallow,True,12,48,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,49,Your task is to boil marshmallow
examine liquid marshmallow,True,12,50,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,51,Your task is to boil marshmallow
examine liquid marshmallow,True,12,52,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,53,Your task is to boil marshmallow
examine liquid marshmallow,True,12,54,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,55,Your task is to boil marshmallow
examine liquid marshmallow,True,12,56,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,57,Your task is to boil marshmallow
examine liquid marshmallow,True,12,58,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,59,Your task is to boil marshmallow
examine liquid marshmallow,True,12,60,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,61,Your task is to boil marshmallow
examine liquid marshmallow,True,12,62,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,63,Your task is to boil marshmallow
examine liquid marshmallow,True,12,64,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,65,Your task is to boil marshmallow
examine liquid marshmallow,True,12,66,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,67,Your task is to boil marshmallow
examine liquid marshmallow,True,12,68,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,69,Your task is to boil marshmallow
examine liquid marshmallow,True,12,70,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,71,Your task is to boil marshmallow
pick up metal pot,True,12,72,Your task is to boil marshmallow
open door to outside,True,12,73,Your task is to boil marshmallow
go to outside,True,12,74,Your task is to boil marshmallow
open door to foundry,True,12,75,Your task is to boil marshmallow
go to foundry,True,12,76,Your task is to boil marshmallow
open blast furnace,True,12,77,Your task is to boil marshmallow
move metal pot to blast furnace,True,12,78,Your task is to boil marshmallow
activate blast furnace,True,12,79,Your task is to boil marshmallow
examine liquid marshmallow,True,12,80,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,81,Your task is to boil marshmallow
examine liquid marshmallow,True,12,82,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,12,83,Your task is to boil marshmallow
open door to kitchen,True,13,0,Your task is to boil marshmallow
go to kitchen,True,13,1,Your task is to boil marshmallow
pick up thermometer,True,13,2,Your task is to boil marshmallow
open cupboard,True,13,3,Your task is to boil marshmallow
pick up metal pot,True,13,4,Your task is to boil marshmallow
focus on marshmallow,True,13,5,Your task is to boil marshmallow
move marshmallow to metal pot,True,13,6,Your task is to boil marshmallow
pick up metal pot,True,13,7,Your task is to boil marshmallow
move metal pot to stove,True,13,8,Your task is to boil marshmallow
activate stove,True,13,9,Your task is to boil marshmallow
pick up metal pot,True,13,10,Your task is to boil marshmallow
open door to outside,True,13,11,Your task is to boil marshmallow
go to outside,True,13,12,Your task is to boil marshmallow
open door to foundry,True,13,13,Your task is to boil marshmallow
go to foundry,True,13,14,Your task is to boil marshmallow
open blast furnace,True,13,15,Your task is to boil marshmallow
move metal pot to blast furnace,True,13,16,Your task is to boil marshmallow
activate blast furnace,True,13,17,Your task is to boil marshmallow
examine marshmallow,True,13,18,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,13,19,Your task is to boil marshmallow
examine liquid marshmallow,True,13,20,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,13,21,Your task is to boil marshmallow
examine liquid marshmallow,True,13,22,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,13,23,Your task is to boil marshmallow
examine liquid marshmallow,True,13,24,Your task is to boil marshmallow
use thermometer in inventory on liquid marshmallow,True,13,25,Your task is to boil marshmallow
open door to hallway,True,14,0,Your task is to boil ice cream
go to hallway,True,14,1,Your task is to boil ice cream
open door to kitchen,True,14,2,Your task is to boil ice cream
go to kitchen,True,14,3,Your task is to boil ice cream
pick up thermometer,True,14,4,Your task is to boil ice cream
open cupboard,True,14,5,Your task is to boil ice cream
